label,,start,end
後鳥羽天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Emperor_Go-Toba.jpg/140px-Emperor_Go-Toba.jpg,1192,1197
土御門天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Emperor_Tsuchimikado.jpg/140px-Emperor_Tsuchimikado.jpg,1198,1209
順徳天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Emperor_Juntoku_large.jpg/140px-Emperor_Juntoku_large.jpg,1210,1220
仲恭天皇,,1221,1221
後堀河天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Emperor_Go-Horikawa.jpg/140px-Emperor_Go-Horikawa.jpg,1221,1231
四条天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Emperor_Shij%C5%8D.jpg/140px-Emperor_Shij%C5%8D.jpg,1232,1241
後嵯峨天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Emperor_Go-Saga.jpg/140px-Emperor_Go-Saga.jpg,1242,1245
後深草天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Emperor_Go-Fukakusa.jpg/140px-Emperor_Go-Fukakusa.jpg,1246,1258
亀山天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Emperor_Kameyama.jpg/140px-Emperor_Kameyama.jpg,1259,1273
後宇多天皇,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Emperor_Go-Uda.jpg/140px-Emperor_Go-Uda.jpg,1274,1286
